cik,name,ticker,exchange,market_cap
1171486,NATURAL RESOURCE PARTNERS LP,NRP,NYSE,1362026496.0
810136,PHOTRONICS INC,PLAB,Nasdaq,1411390592.0
1805385,"Evolv Technologies Holdings, Inc.",EVLV,Nasdaq,1414666752.0
1437402,"ARDELYX, INC.",ARDX,Nasdaq,1214553472.0
1891027,"MNTN, Inc.",MNTN,NYSE,1341144832.0
1406587,Forestar Group Inc.,FOR,NYSE,1334879104.0
1053706,"CRA INTERNATIONAL, INC.",CRAI,Nasdaq,1239521280.0
1568194,FS Credit Opportunities Corp.,FSCO,NYSE,1309148800.0
703604,"Distribution Solutions Group, Inc.",DSGR,Nasdaq,1402598016.0
1415921,Navios Maritime Partners L.P.,NMM,NYSE,1333629184.0
1828962,"Cricut, Inc.",CRCT,Nasdaq,1109074560.0
883237,"VIRTUS INVESTMENT PARTNERS, INC.",VRTS,NYSE,1122746880.0
1759783,EHang Holdings Ltd,EH,Nasdaq,1264054016.0
109177,"Spectrum Brands Holdings, Inc.",SPB,NYSE,1348331776.0
1690511,Canada Goose Holdings Inc.,GOOS,NYSE,1312199296.0
1608741,Nuveen NASDAQ 100 Dynamic Overwrite Fund,QQQX,Nasdaq,1371056128.0
1962746,Lotus Technology Inc.,LOT,Nasdaq,1289540096.0
50493,INGLES MARKETS INC,IMKTA,Nasdaq,1368924672.0
1545654,"Alexander & Baldwin, Inc.",ALEX,NYSE,1238260736.0
846617,"Dime Community Bancshares, Inc. /NY/",DCOM,Nasdaq,1221928064.0
1580808,"A10 Networks, Inc.",ATEN,NYSE,1301633280.0
1593538,NAVIENT CORP,NAVI,Nasdaq,1274705920.0
1808834,"PROG Holdings, Inc.",PRG,NYSE,1227495168.0
1411342,Ellington Financial Inc.,EFC,NYSE,1330586624.0
933974,"Azenta, Inc.",AZTA,Nasdaq,1479706368.0
1484778,ThredUp Inc.,TDUP,Nasdaq,1099826688.0
2012593,"Rapport Therapeutics, Inc.",RAPP,Nasdaq,1195718016.0
752642,"UMH PROPERTIES, INC.",UMH,NYSE,1246757376.0
1670076,"Frontier Group Holdings, Inc.",ULCC,Nasdaq,946845184.0
1611115,"Omada Health, Inc.",OMDA,Nasdaq,1489463168.0
1596993,DORIAN LPG LTD.,LPG,NYSE,1177503616.0
1702750,"BYLINE BANCORP, INC.",BY,NYSE,1290958336.0
906465,QCR HOLDINGS INC,QCRH,Nasdaq,1298835712.0
1867096,"Xeris Biopharma Holdings, Inc.",XERS,Nasdaq,1487234176.0
885978,U S PHYSICAL THERAPY INC /NV,USPH,NYSE,1416415744.0
1815776,"LENZ Therapeutics, Inc.",LENZ,Nasdaq,967755200.0
1392326,Capital Clean Energy Carriers Corp.,CCEC,Nasdaq,1300471040.0
1517413,"Fastly, Inc.",FSLY,NYSE,1227842048.0
311094,WESTAMERICA BANCORPORATION,WABC,Nasdaq,1214927744.0
1042893,"Innovex International, Inc.",INVX,NYSE,1408596992.0
1308335,Eaton Vance Enhanced Equity Income Fund II,EOS,NYSE,1244690048.0
1857475,Dole plc,DOLE,NYSE,1225694976.0
1995195,Yubico AB,YUBCF,OTC,805365824.0
712771,"ConnectOne Bancorp, Inc.",CNOB,Nasdaq,1237651328.0
1560327,"Rapid7, Inc.",RPD,Nasdaq,1241827328.0
1412558,Evotec SE,EVO,Nasdaq,1456312704.0
1734713,"BrightView Holdings, Inc.",BV,NYSE,1260272000.0
1297184,"Amphastar Pharmaceuticals, Inc.",AMPH,Nasdaq,1140059264.0
1825155,TELUS International (Cda) Inc.,TIXT,NYSE,1215263744.0
1821160,Guild Holdings Co,GHLD,NYSE,1240087296.0
1717161,CENTRAL PUERTO S.A.,CEPU,NYSE,1420093696.0
1573221,"TheRealReal, Inc.",REAL,Nasdaq,1393218688.0
1481513,"JinkoSolar Holding Co., Ltd.",JKS,NYSE,1112593664.0
1820721,"Array Technologies, Inc.",ARRY,Nasdaq,1366886656.0
1127703,PROASSURANCE CORP,PRA,NYSE,1239582976.0
33934,CORNERSTONE TOTAL RETURN FUND INC,CRF,NYSE,1222159744.0
1260563,"Virtus Dividend, Interest & Premium Strategy Fund",NFJ,NYSE,1210148608.0
1841968,"P10, Inc.",PX,NYSE,1159194624.0
1953575,Collective Mining Ltd.,CNL,NYSE,1088754816.0
1287032,PROSPECT CAPITAL CORP,PSEC,Nasdaq,1278989312.0
1166388,VERINT SYSTEMS INC,VRNT,Nasdaq,1228252672.0
1572694,"Goldman Sachs BDC, Inc.",GSBD,NYSE,1119449472.0
1398987,Anywhere Real Estate Inc.,HOUS,NYSE,1203135872.0
1071438,BRASKEM SA,BAK,NYSE,1057462656.0
1439095,MRC GLOBAL INC.,MRC,NYSE,1231172096.0
1172358,"DORCHESTER MINERALS, L.P.",DMLP,Nasdaq,1198169216.0
66382,"MILLERKNOLL, INC.",MLKN,Nasdaq,1195582848.0
17313,CAPITAL SOUTHWEST CORP,CSWC,Nasdaq,1150396544.0
711377,NEOGEN CORP,NEOG,Nasdaq,1345078528.0
1005210,SUBURBAN PROPANE PARTNERS LP,SPH,NYSE,1239409920.0
1580670,"LGI Homes, Inc.",LGIH,Nasdaq,1061988672.0
1843181,Neuberger Berman Next Generation Connectivity Fund Inc.,NBXG,NYSE,1181422464.0
1809122,CureVac N.V.,CVAC,Nasdaq,1206925952.0
1877184,"KESTRA MEDICAL TECHNOLOGIES, LTD.",KMTS,Nasdaq,1337675392.0
1266585,NUVEEN MUNICIPAL HIGH INCOME OPPORTUNITY FUND,NMZ,NYSE,1213165568.0
1672619,"Enliven Therapeutics, Inc.",ELVN,Nasdaq,1220844672.0
1080014,"Innoviva, Inc.",INVA,Nasdaq,1116102144.0
